Deduction Date,Campaign ID,Ad Cost,Credits / Waivers / Discounts,GST,Total Ads Cost
2026-01-05,17333924,166.24,0,-29.92,-196.16
2026-01-05,17333924,6.37,0,-1.15,-7.52
2026-01-05,17788088,5.3,5,-0.05,-0.35
2026-01-05,17333924,2.94,0,-0.53,-3.47
2026-01-05,17788088,0.25,0,-0.05,-0.3
2026-01-05,17333924,7.35,0,-1.32,-8.67
2026-01-05,17333924,29.4,0,-5.29,-34.69
2026-01-05,17715361,0.07,0,-0.01,-0.08
2026-01-05,17759375,0.42,0,-0.08,-0.5
2026-01-05,17759375,10.42,10,-0.08,-0.5
2026-01-05,17333924,1.96,0,-0.35,-2.31
2026-01-05,17149030,3.06,0,-0.55,-3.61
2026-01-05,17457426,0.49,0,-0.09,-0.58
2026-01-05,17333924,42.14,0,-7.59,-49.73
2026-01-05,17149030,6.8,0,-1.22,-8.02
2026-01-05,17457426,8.33,0,-1.5,-9.83
2026-01-05,17333924,31.36,0,-5.64,-37.0
2026-01-05,17457426,7.35,0,-1.32,-8.67
2026-01-05,17149030,6.8,0,-1.22,-8.02
2026-01-05,17333924,22.54,0,-4.06,-26.6
2026-01-05,17457426,2.94,0,-0.53,-3.47
2026-01-05,17149030,4.08,0,-0.73,-4.81
2026-01-05,17333924,21.07,0,-3.79,-24.86
2026-01-05,17457426,5.39,0,-0.97,-6.36
2026-01-05,17149030,3.74,0,-0.67,-4.41
2026-01-05,17333924,28.42,0,-5.12,-33.54
2026-01-05,17457426,2.94,0,-0.53,-3.47
2026-01-05,17149030,3.4,0,-0.61,-4.01
2026-01-05,17333924,31.85,0,-5.73,-37.58
2026-01-05,17333924,26.95,0,-4.85,-31.8
2026-01-05,17149030,2.72,0,-0.49,-3.21
2026-01-05,17149030,3.4,0,-0.61,-4.01
2026-01-05,17333924,22.54,0,-4.06,-26.6
2026-01-05,17149030,3.74,0,-0.67,-4.41
2026-01-05,17333924,34.79,0,-6.26,-41.05
2026-01-05,17333924,13.23,0,-2.38,-15.61
2026-01-05,17149030,3.06,0,-0.55,-3.61
2026-01-05,17149030,8.16,0,-1.47,-9.63
2026-01-05,17149030,5.44,0,-0.98,-6.42
2026-01-06,17788088,15.43,15,-0.08,-0.51
2026-01-06,17333924,51.35,0,-9.24,-60.59
2026-01-07,17788088,4.03,4,-0.01,-0.04
2026-01-12,18212404,21.95,0,-3.95,-25.9
2026-01-12,17333924,7.45,0,-1.34,-8.79
2026-01-12,17788088,15.18,15,-0.03,-0.21
2026-01-12,17333924,8.15,0,-1.47,-9.62
2026-01-12,17333924,11.95,0,-2.15,-14.1
2026-01-16,17788088,17.57,0,-3.16,-20.73
2026-01-16,18212404,204.72,0,-36.85,-241.57
2026-01-16,17788088,10.2,0,-1.84,-12.04
2026-01-16,18212404,198.31,0,-35.7,-234.01
2026-01-16,17788088,17.14,0,-3.09,-20.23
2026-01-16,18212404,199.79,0,-35.96,-235.75
2026-01-16,17788088,20.32,0,-3.66,-23.98
2026-01-16,18212404,211.63,0,-38.09,-249.72
2026-01-19,18411530,0.19,0,-0.03,-0.22
2026-01-19,18212404,33.54,0,-6.04,-39.58
2026-01-19,18411530,0.19,0,-0.03,-0.22
2026-01-19,18212404,249.12,0,-44.84,-293.96
2026-01-19,17788088,12.17,0,-2.19,-14.36
2026-01-19,18212404,243.2,0,-43.78,-286.98
2026-01-20,18212404,169.69,0,-30.54,-200.23
2026-01-20,18411530,8.46,0,-1.52,-9.98
2026-01-21,18411530,2.38,0,-0.43,-2.81
2026-01-21,18212404,35.27,0,-6.35,-41.62
2026-01-22,18411530,5.83,0,-1.05,-6.88
2026-01-22,18212404,21.7,0,-3.91,-25.61
2026-01-23,18411530,49.55,0,-8.92,-58.47
2026-01-23,18212404,104.83,0,-18.87,-123.7
2026-01-27,18716216,93.67,0,-16.86,-110.53
2026-01-27,18212404,0.74,0,-0.13,-0.87
2026-01-27,18411530,8.13,0,-1.46,-9.59
2026-01-27,18411530,15.07,0,-2.71,-17.78
2026-01-27,18212404,38.71,0,-6.97,-45.68
2026-01-27,18212404,202.5,0,-36.45,-238.95
2026-01-27,18411530,41.23,0,-7.42,-48.65
2026-01-27,18212404,41.18,0,-7.41,-48.59
2026-01-27,18411530,5.4,0,-0.97,-6.37
2026-01-28,18212404,1.47,0,-0.26,-1.73
2026-01-28,18716216,293.21,0,-52.78,-345.99
2026-02-02,18901897,213.27,0,-38.39,-251.66
2026-02-02,18901897,186.79,0,-33.62,-220.41
